buravtsovps@otus:~/OTUS/module1/lesson10-process$ sudo ./ps_ax.sh 
[sudo] пароль для buravtsovps: 
USER	PID	UID	STAT	TTY	COMMAND
root	1	0	S	?	(systemd)
root	2	0	S	?	(kthreadd)
root	3	0	I	?	(rcu_gp)
root	4	0	I	?	(rcu_par_gp)
root	5	0	I	?	(slub_flushwq)
root	6	0	I	?	(netns)
root	8	0	I	?	(kworker/0:0H-events_highpri)
root	10	0	I	?	(mm_percpu_wq)
root	11	0	I	?	(rcu_tasks_kthread)
root	12	0	I	?	(rcu_tasks_rude_kthread)
root	13	0	I	?	(rcu_tasks_trace_kthread)
root	14	0	S	?	(ksoftirqd/0)
root	15	0	I	?	(rcu_preempt)
root	16	0	S	?	(migration/0)
root	17	0	S	?	(idle_inject/0)
root	18	0	I	?	(kworker/0:1-events)
root	19	0	S	?	(cpuhp/0)
root	20	0	S	?	(cpuhp/1)
root	21	0	S	?	(idle_inject/1)
root	22	0	S	?	(migration/1)
root	23	0	S	?	(ksoftirqd/1)
root	25	0	I	?	(kworker/1:0H-events_highpri)
root	26	0	S	?	(cpuhp/2)
root	27	0	S	?	(idle_inject/2)
root	28	0	S	?	(migration/2)
root	29	0	S	?	(ksoftirqd/2)
root	31	0	I	?	(kworker/2:0H-events_highpri)
root	32	0	S	?	(cpuhp/3)
root	33	0	S	?	(idle_inject/3)
root	34	0	S	?	(migration/3)
root	35	0	S	?	(ksoftirqd/3)
root	37	0	I	?	(kworker/3:0H-events_highpri)
root	38	0	S	?	(cpuhp/4)
root	39	0	S	?	(idle_inject/4)
root	40	0	S	?	(migration/4)
root	41	0	S	?	(ksoftirqd/4)
root	43	0	I	?	(kworker/4:0H-events_highpri)
root	44	0	S	?	(cpuhp/5)
root	45	0	S	?	(idle_inject/5)
root	46	0	S	?	(migration/5)
root	47	0	S	?	(ksoftirqd/5)
root	48	0	I	?	(kworker/5:0-cgroup_destroy)
root	49	0	I	?	(kworker/5:0H-events_highpri)
root	50	0	S	?	(cpuhp/6)
root	51	0	S	?	(idle_inject/6)
root	52	0	S	?	(migration/6)
root	53	0	S	?	(ksoftirqd/6)
root	55	0	I	?	(kworker/6:0H-events_highpri)
root	56	0	S	?	(cpuhp/7)
root	57	0	S	?	(idle_inject/7)
root	58	0	S	?	(migration/7)
root	59	0	S	?	(ksoftirqd/7)
root	60	0	I	?	(kworker/7:0-events)
root	61	0	I	?	(kworker/7:0H-events_highpri)
root	62	0	S	?	(kdevtmpfs)
root	63	0	I	?	(inet_frag_wq)
root	64	0	S	?	(kauditd)
